Название,Ссылка,Автор,Издательство,Цена,Размер скидки,Старая цена,Наличие
Программирование на Java,https://www.labirint.ru/books/455727/,"Нимейер Патрик, Леук Дэниэл",Эксмо: Мировой компьютерный бестселлер,Нет в продаже,,,Отсутствует
"HTML5, CSS3 и JavaScript. Исчерпывающее руководство (+DVD)",https://www.labirint.ru/books/430610/,Роббинс Дженнифер,Эксмо: Мировой компьютерный бестселлер,Нет в продаже,,,Отсутствует
Java. Решение практических задач,https://www.labirint.ru/books/805900/,Леонард Анджел,BHV: Учебная литература для ВУЗов,Нет в продаже,,,Отсутствует
Java Persistence API и Hibernate,https://www.labirint.ru/books/596462/,Бауэр Кристиан и др.,ДМК-Пресс,Нет в продаже,,,Отсутствует
"Java в облаке. Spring Boot, Spring Cloud, Cloud Foundry",https://www.labirint.ru/books/658776/,"Лонг Джош, Бастани Кеннет",Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
JavaScript и Node.js для веб-разработчиков,https://www.labirint.ru/books/832633/,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV: Профессиональное программирование,Нет в продаже,,,Отсутствует
Java SE 8. Базовый курс,https://www.labirint.ru/books/512964/,Хорстманн Кей С.,Вильямс,Нет в продаже,,,Отсутствует
JavaScript для профессиональных веб-разработчиков,https://www.labirint.ru/books/480322/,Закас Николас,Питер: Для профессионалов,Нет в продаже,,,Отсутствует
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку на JavaScript,https://www.labirint.ru/books/692859/,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань: Учебники для вузов. Специальная литература,Нет в продаже,,,Отсутствует
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,https://www.labirint.ru/books/789636/,"Индрасири Касун, Курупу Данеш",Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
Java для начинающих. Объектно-ориентированный подход,https://www.labirint.ru/books/617526/,Бэзинс Барт и др.,Питер: Библиотека программиста,Нет в продаже,,,Отсутствует
JavaFX,https://www.labirint.ru/books/724693/,Прохоренок Николай Анатольевич,BHV: В подлиннике,Нет в продаже,,,Отсутствует
"HTML, JavaScript, PHP и MySQL. Джентльм.наб. Изд.5",https://www.labirint.ru/books/670226/,"Дронов Владимир Александрович, Прохоренок Николай Анатольевич",BHV: Профессиональное программирование,Нет в продаже,,,Отсутствует
Основы Java,https://www.labirint.ru/books/709199/,Прохоренок Николай Анатольевич,BHV,Нет в продаже,,,Отсутствует
JavaScript для профессионалов,https://www.labirint.ru/books/726666/,Резиг Джон и др.,Диалектика,Нет в продаже,,,Отсутствует
Программирование на Javascript для чайников,https://www.labirint.ru/books/695681/,"Минник Крис, Холланд Ева","Диалектика: Для ""чайников""",Нет в продаже,,,Отсутствует
JavaServer Faces. Библиотека профессионала,https://www.labirint.ru/books/512862/,"Хорстманн Кей С., Гери Дэвид М.",Вильямс,Нет в продаже,,,Отсутствует
Java 2. Библиотека профессионала. Том 1. Основы,https://www.labirint.ru/books/512876/,"Хорстманн Кей С., Корнелл Гари",Вильямс,Нет в продаже,,,Отсутствует
"MATLAB. Программирование на С++, С#, Java и VBA",https://www.labirint.ru/books/476937/,Смоленцев Николай Константинович,ДМК-Пресс,Нет в продаже,,,Отсутствует
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",https://www.labirint.ru/books/540282/,Никсон Робин,Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
Изучаем Java EE. Современное программирование для больших предприятий,https://www.labirint.ru/books/651967/,Дашнер Себастьян,Питер: Для профессионалов,Нет в продаже,,,Отсутствует
Java EE 7 и сервер приложений GlassFish 4,https://www.labirint.ru/books/497081/,Хеффельфингер Дэвид,ДМК-Пресс,Нет в продаже,,,Отсутствует
Разработка приложений Java EE 7 в NetBeans 8,https://www.labirint.ru/books/495549/,Хеффельфингер Дэвид,ДМК-Пресс,Нет в продаже,,,Отсутствует
Изучаем Java EE 7,https://www.labirint.ru/books/444058/,Гонсалвес Энтони,Питер,Нет в продаже,,,Отсутствует
Как устроен JavaScript,https://www.labirint.ru/books/702248/,Крокфорд Дуглас,Питер: Для профессионалов,Нет в продаже,,,Отсутствует
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",https://www.labirint.ru/books/469029/,Никсон Робин,Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
Программирование в Clojure. Практика применения Lisp в мире Java,https://www.labirint.ru/books/392454/,Эмерик Чаз и др.,ДМК-Пресс: Функциональное программирование,Нет в продаже,,,Отсутствует
Создание приложений для Windows 8 с использованием HTML5 и JavaScript,https://www.labirint.ru/books/381227/,Вальтер Штефен,ДМК-Пресс: Нажми на кнопку!,Нет в продаже,,,Отсутствует
Элегантные объекты. Java Edition,https://www.labirint.ru/books/654837/,Бугаенко Егор,Питер: Библиотека программиста,Нет в продаже,,,Отсутствует
JavaScript для любознательных,https://www.labirint.ru/books/570521/,"Минник Крис, Холланд Ева","Диалектика: Для ""чайников""",Нет в продаже,,,Отсутствует
JavaScript для чайников,https://www.labirint.ru/books/529151/,"Холланд Ева, Минник Крис","Диалектика: Для ""чайников""",Нет в продаже,,,Отсутствует
"Java 8 для ""чайников""",https://www.labirint.ru/books/513051/,Берд Барри,"Диалектика: Для ""чайников""",Нет в продаже,,,Отсутствует
Основы Java,https://www.labirint.ru/books/599015/,Прохоренок Николай Анатольевич,BHV,Нет в продаже,,,Отсутствует
JavaScript для детей. Самоучитель по программированию,https://www.labirint.ru/books/551756/,Морган Ник,"Манн, Иванов и Фербер: Для детей. Самоучитель по программированию",Нет в продаже,,,Отсутствует
Программирование  WEB-приложений на языке Java,https://www.labirint.ru/books/189138/,Курняван Буди,Лори: Компьютерная литература,Нет в продаже,,,Отсутствует
"Создание web-приложений на языке Java с помощью сервлетов, JSP и EJB",https://www.labirint.ru/books/186954/,Курняван Буди,Лори:,Нет в продаже,,,Отсутствует
Интерфейс JNI. Руководство по программированию и спецификация,https://www.labirint.ru/books/435404/,Шенг Лиэнг,ДМК-Пресс,Нет в продаже,,,Отсутствует
Java для всех,https://www.labirint.ru/books/716906/,Васильев Алексей,Питер: Библиотека программиста,Нет в продаже,,,Отсутствует
JavaScript. Карманный справочник,https://www.labirint.ru/books/512920/,Флэнаган Дэвид,Вильямс,Нет в продаже,,,Отсутствует
Java EE 6 и сервер приложений GlassFish 3,https://www.labirint.ru/books/378978/,Хеффельфингер Дэвид,ДМК-Пресс,Нет в продаже,,,Отсутствует
Java. Быстрый старт,https://www.labirint.ru/books/793070/,Чан Джейми,Питер: Библиотека программиста,Нет в продаже,,,Отсутствует
Алгоритмы и структуры данных. Извлечение информации на языке Java,https://www.labirint.ru/books/647974/,Доуни Аллен Б.,Питер: Бестселлеры O`Reilly,Нет в продаже,,,Отсутствует
JavaScript. Дополнительные уроки для начинающих,https://www.labirint.ru/books/818553/,Дронов Валерий Александрович,BHV: Для Начинающих,Нет в продаже,,,Отсутствует
JavaScript. 20 уроков для начинающих,https://www.labirint.ru/books/758118/,Дронов Владимир Александрович,BHV: Для Начинающих,Нет в продаже,,,Отсутствует
Программирование для детей. Пять самых крутых игр на HTML и JavaScript,https://www.labirint.ru/books/722960/,Уитни Дэвид,Питер: Программирование для детей,Нет в продаже,,,Отсутствует
Самоучитель Java 7,https://www.labirint.ru/books/363619/,"Льюис Дирк, Мюллер Петер",BHV: Самоучитель,Нет в продаже,,,Отсутствует
Java 8. Карманный справочник,https://www.labirint.ru/books/512963/,"Лигуори Роберт, Лигуори Патрисия",Вильямс,Нет в продаже,,,Отсутствует
